"",,,,FROM,,
"",,,,,Your name,
"",,,,,your@mail.com,
"",,,,,"Your fancy street,",
"",,,The Big Apple,,,
"",,,,,,
"",,,TO,,,
"",,,,,Awesome Client,
"",Invoice #123,,yourclient@mail.com,,,
"",,"Your fancy street,",,,,
"",,The Big Apple,,,,
"",Invoice description,,,,,
"",,,,,,
"",INVOICE DATE,SERVICE DESCRIPTION,QTY,RATE,AMOUNT,
"",03/22/19,Wireframes for Landing Page,2,$500,"$1,000",
"",,Logo design,1,$500,$500,
"",,,,,,
"",,,,TOTAL SERVICES,"$1,500.00",
"",,EXPENSE DESCRIPTION,,QTY,AMOUNT,
"",,Internet bills,,1,$82.60,
"",,,,,,
"",,,,TOTAL EXPENSES,$82.60,
"",,,,DISCOUNT,-$150.00,
"",,,,TAX (5%),$71.63,
"",INVOICE DUE,,,,TOTAL,
"",03/22/19,,,,"$1,504.23",
"",,,,,,
"",PAYMENT INFORMATION,,PAY INVOICE ONLINE,,,
"",Bank account number or PayPal account here.,,,,,
"",,,,,,
"",,"(Add a link to your online paymentmethods here)",,,,
"",,,,,,
"",THIS INVOICE WAS GENERATED WITH CARE BY AND CO FROM FIVERR,,,,,
"",,,,,,
"",,,,,,
"",,,,,,
"",,,,,,
